book_id,bet_id,transaction_id,ticket_id,last_name,first_name,passport_series,passport_number,ban_status
3,102,441,510,Yates,Johnny,1471,228630,NOT BANNED
248,204,232,245,Brown,Janet,1076,958755,NOT BANNED
119,492,845,170,Brown,Crystal,7312,620002,NOT BANNED
831,625,812,578,Anderson,Taylor,4778,507216,NOT BANNED
72,743,580,961,Wright,Michael,3528,311743,NOT BANNED
361,117,532,102,Cox,Gary,5196,549234,NOT BANNED
5,916,222,647,Taylor,Curtis,4670,128435,BANNED
243,863,913,809,Owens,Jennifer,7978,114299,NOT BANNED
284,335,311,714,Tucker,Roger,5401,493310,NOT BANNED
100,253,314,813,Cruz,Andrew,2710,686686,NOT BANNED
76,228,445,387,Perez,Jeanette,6253,990872,BANNED
489,458,124,400,Rice,Jason,3698,364563,NOT BANNED
325,618,785,768,Chavez,James,5204,782807,BANNED
399,773,280,825,Myers,Lance,6232,357342,BANNED
158,24,473,690,Franklin,Jay,7512,895059,NOT BANNED
73,669,200,649,Miller,Stacey,1367,394875,NOT BANNED
425,245,607,492,Hicks,Kendra,1074,224450,BANNED
717,774,902,607,Mcclain,Mark,1705,555397,BANNED
924,244,756,126,Boyer,Penny,1552,791656,BANNED
374,828,873,895,Mckinney,Jeffery,9331,230491,NOT BANNED
528,434,506,192,Burke,David,2875,977624,NOT BANNED
307,231,162,814,Guerra,Samantha,1830,892642,NOT BANNED
622,540,899,923,Hunt,Jacqueline,1718,574736,BANNED
599,857,83,711,Green,Keith,5389,529575,BANNED
349,697,675,300,Morgan,Steven,2329,674816,BANNED
542,181,376,155,Miller,Tanya,1324,294826,NOT BANNED
442,983,760,674,Mitchell,Zachary,6176,802076,BANNED
579,565,786,586,Carpenter,Christopher,5276,376487,NOT BANNED
552,967,603,573,Haynes,Cassidy,8736,764403,BANNED
412,659,389,33,Ray,Austin,8278,754472,NOT BANNED
252,157,798,132,Brewer,Nicholas,8999,458111,NOT BANNED
985,992,649,997,Welch,Amanda,3933,927597,NOT BANNED
678,524,645,403,Brown,Tracey,5326,806181,NOT BANNED
44,36,890,89,Reynolds,Connor,4076,786766,BANNED
336,200,315,866,Collins,Donald,7178,790911,BANNED
791,575,743,344,Smith,James,5503,342121,NOT BANNED
754,264,452,197,Jones,Anne,1946,975970,NOT BANNED
513,373,220,554,Lee,Jeff,6321,981644,BANNED
244,267,110,118,Lewis,Ashley,6870,176903,NOT BANNED
975,266,749,875,Macias,Preston,8427,640324,BANNED
334,954,67,842,Bridges,Jessica,6218,733805,NOT BANNED
989,892,841,272,Herring,Benjamin,9040,233179,BANNED
241,725,310,869,Freeman,Brenda,8322,439836,NOT BANNED
855,403,714,162,Smith,Timothy,9432,121280,NOT BANNED
840,770,549,811,Simmons,Rachel,1673,963299,BANNED
458,284,434,603,Jackson,Angela,4692,770982,BANNED
895,636,271,38,Hayes,Christopher,6555,329280,BANNED
651,614,509,888,Anderson,Adam,1125,866559,NOT BANNED
637,876,880,5,Taylor,Barbara,8163,550624,NOT BANNED
675,445,95,898,Abbott,Pamela,5702,861299,BANNED
655,729,436,8,Baker,Rachel,4780,476804,BANNED
139,376,138,466,Hall,Autumn,3571,757125,NOT BANNED
269,611,904,167,Frederick,Jared,3345,364224,BANNED
872,920,135,716,Barrera,Gail,6652,739274,NOT BANNED
267,632,57,676,Bailey,Thomas,6371,410846,BANNED
856,304,815,243,Frank,Sabrina,1794,637321,NOT BANNED
384,807,392,148,White,David,6515,532832,NOT BANNED
992,665,848,22,Pena,Pam,4903,265024,NOT BANNED
508,368,126,94,Harris,John,1872,611195,NOT BANNED
229,137,472,851,Torres,James,4528,291901,NOT BANNED
814,966,479,965,Carroll,Emily,1044,409066,NOT BANNED
871,538,572,111,Sutton,Stephanie,1423,937820,NOT BANNED
893,877,130,843,Arias,Kathryn,3126,908777,NOT BANNED
387,153,129,732,Howard,Jennifer,4683,334966,NOT BANNED
811,558,31,715,Nguyen,Philip,5300,479523,BANNED
495,868,268,572,Thomas,Aaron,3647,178433,BANNED
460,519,780,311,Hart,Ashley,3128,921771,NOT BANNED
584,764,438,683,Dominguez,Kelli,2741,583712,NOT BANNED
709,832,997,679,Gordon,Timothy,8068,729631,NOT BANNED
11,155,128,159,Palmer,Tammy,1135,103657,NOT BANNED
143,315,178,50,White,Javier,3486,272190,NOT BANNED
281,775,177,386,Tucker,Raymond,5957,926629,NOT BANNED
205,363,11,141,Harris,Kristen,1208,422033,NOT BANNED
124,44,317,725,Smith,Julie,4440,699442,BANNED
201,454,359,223,Ramirez,Danielle,5511,504843,BANNED
147,41,935,57,Le,Cheryl,5273,688016,NOT BANNED
451,591,80,69,Thomas,Nicole,1229,172637,NOT BANNED
564,347,849,437,Hess,Cynthia,9100,811990,NOT BANNED
822,391,507,721,Gonzalez,Thomas,9396,710792,BANNED
1,529,948,206,Perez,Alexander,3982,456869,NOT BANNED
691,12,834,853,Hill,Lisa,2786,163761,BANNED
900,860,470,326,Lloyd,Sandra,7407,331491,NOT BANNED
696,233,141,613,Peterson,Nicholas,4995,104122,NOT BANNED
838,528,337,404,White,Shannon,5699,867227,NOT BANNED
39,110,745,433,Allen,Cheryl,5171,801154,BANNED
137,381,207,175,Norman,Daniel,2253,631865,NOT BANNED
111,808,375,487,Ruiz,Rodney,9934,201299,NOT BANNED
214,849,380,753,Welch,Donna,9041,325065,NOT BANNED
168,327,541,958,Hart,Philip,6934,433537,BANNED
351,589,104,738,Collins,Ariel,9256,109942,BANNED
596,471,239,631,Johnson,Angela,9833,142461,BANNED
408,396,883,514,Pierce,Samantha,2738,725201,NOT BANNED
